Age	rLAI
23	1.72788
23.5	1.78237
24	1.83686
24.5	1.778105
25	1.71935
25.5	1.68489
26	1.65043
26.5	1.621525
27	1.59262
27.5	1.560345
28	1.52807
28.5	1.486115
29	1.44416
29.5	1.38758
30	1.331
30.5	1.2544
31	1.1778
31.5	1.079285
32	0.98077
32.5	0.86079
33	0.74081
33.5	0.583225
34	0.42564
34.5	0.49806
35	0.57048
35.5	0.894205
36	1.21793
36.5	1.498715
37	1.7795
37.5	1.24181
38	0.70412
38.5	1.38283
39	2.06154
39.5	1.470465
40	0.87939
40.5	1.025765
41	1.17214
41.5	1.315865
42	1.45959
42.5	1.74482
43	2.03005
43.5	1.91584
44	1.80163
44.5	1.800205
45	1.79878
45.5	1.88424
46	1.9697
46.5	2.08041
47	2.19112
47.5	2.31487
48	2.43862
48.5	2.566515
49	2.69441
