Age	P_open
0	90.082
0.5	89.033
1	87.984
1.5	93.356
2	98.728
2.5	92.7005
3	86.673
3.5	73.1325
4	59.592
4.5	50.4395
5	41.287
5.5	42.9815
6	44.676
6.5	52.119
7	59.562
7.5	64.6685
8	69.775
8.5	70.313
9	70.851
9.5	69.8445
10	68.838
10.5	65.074
11	61.31
11.5	43.247
12	25.184
12.5	19.8025
13	14.421
13.5	10.552
14	6.683
14.5	7.942
15	9.201
15.5	6.199
16	3.197
16.5	5.174
17	7.151
17.5	4.927
18	2.703
18.5	10.7975
19	18.892
19.5	16.4385
20	13.985
20.5	17.1745
21	20.364
21.5	18.1125
22	15.861
22.5	16.265
23	16.669
23.5	16.961
24	17.253
24.5	17.3785
25	17.504
25.5	10.0535
26	2.603
26.5	1.5255
27	0.448
27.5	0.374
28	0.3
28.5	0.225
29	0.15
29.5	0.075
30	0
30.5	0.533333333333335
31	1.06666666666667
31.5	1.59333333333334
32	2.12
32.5	2.67428571428571
33	3.22857142857141
33.5	1.8342857142857
34	0.44
34.5	0.745
35	1.05
35.5	2.725
36	4.4
36.5	6.20833333333333
37	8.01666666666667
37.5	7.78833333333333
38	7.56
38.5	7.09666666666666
39	6.63333333333333
39.5	3.51666666666667
40	0.4
40.5	0.4
41	0.4
41.5	0.4
42	0.4
42.5	0.2
43	0
43.5	0
44	0
44.5	0
45	0
45.5	0
46	0
46.5	0
47	0
47.5	0
48	0
48.5	0
49	0
